PspD74_2_RAD6,PspD74,PspD74_2_RAD6,Carp,1E-05,0.714948,1E-05,0.285032
PspD74_3_RAD6,PspD74,PspD74_3_RAD6,Carp,1E-05,0.7471,1E-05,0.25288
PspD74_4_RAD8,PspD74,PspD74_4_RAD8,Carp,1E-05,0.777701,1E-05,0.222279
PspGMS244_1_RAD1,PspGMS244,PspGMS244_1_RAD1,Carp,1E-05,0.934654,1E-05,0.065326
PspGMS244_3_RAD8,PspGMS244,PspGMS244_3_RAD8,Carp,1E-05,0.862268,1E-05,0.137712
PspGMS244_4_RAD6,PspGMS244,PspGMS244_4_RAD6,Carp,1E-05,0.813821,0.072235,0.113934
PspGMS244_5_RAD6,PspGMS244,PspGMS244_5_RAD6,Carp,1E-05,0.917857,1E-05,0.082123
PspPS2_1_RAD8,PspPS2,PspPS2_1_RAD8,Carp,1E-05,0.99997,1E-05,1E-05
PspPS2_2_RAD8,PspPS2,PspPS2_2_RAD8,Carp,1E-05,0.99997,1E-05,1E-05
PspPS2_3_RAD5,PspPS2,PspPS2_3_RAD5,Carp,1E-05,0.99997,1E-05,1E-05
PspPS2_5_RAD5,PspPS2,PspPS2_5_RAD5,Carp,1E-05,0.99997,1E-05,1E-05
PspPS4A_1_RAD2,PspPS4,PspPS4A_1_RAD2,Carp,1E-05,0.99997,1E-05,1E-05
PspPS4A_2_RAD2,PspPS4,PspPS4A_2_RAD2,Carp,1E-05,0.99997,1E-05,1E-05
PspPS4B_1_RAD2,PspPS4,PspPS4B_1_RAD2,Carp,1E-05,0.99997,1E-05,1E-05
PspPS4B_2_RAD2,PspPS4,PspPS4B_2_RAD2,Carp,1E-05,0.99997,1E-05,1E-05
PovaGMS149_1_RAD2,PovaGMS149,PovaGMS149_1_RAD2,West,1E-05,1E-05,0.99997,1E-05
PovaGMS149_2_RAD3_2,PovaGMS149,PovaGMS149_2_RAD3_2,West,1E-05,1E-05,0.99997,1E-05
PovaGMS149_3_RAD9,PovaGMS149,PovaGMS149_3_RAD9,West,0.147778,1E-05,0.852202,1E-05
PovaGMS149_4_RAD7,PovaGMS149,PovaGMS149_4_RAD7,West,0.077375,1E-05,0.922605,1E-05
Psp2791_1_RAD8,Psp2791,Psp2791_1_RAD8,West,1E-05,1E-05,0.99997,1E-05
Psp2791_2_RAD7,Psp2791,Psp2791_2_RAD7,West,1E-05,1E-05,0.99997,1E-05
Psp2791_3_RAD7,Psp2791,Psp2791_3_RAD7,West,1E-05,1E-05,0.99997,1E-05
Psp2791_4_RAD8,Psp2791,Psp2791_4_RAD8,West,1E-05,1E-05,0.99997,1E-05
PspGMS122_1_RAD1,PspGMS122,PspGMS122_1_RAD1,West,1E-05,1E-05,0.99997,1E-05
PspGMS122_2_RAD3_2,PspGMS122,PspGMS122_2_RAD3_2,West,1E-05,1E-05,0.99997,1E-05
PspGMS122_3_RAD3_2,PspGMS122,PspGMS122_3_RAD3_2,West,1E-05,1.1E-05,0.999969,1E-05
PspGMS124_1_RAD3_2,PspGMS124,PspGMS124_1_RAD3_2,West,1E-05,1E-05,0.99997,1E-05
PspGMS124_2_RAD1,PspGMS124,PspGMS124_2_RAD1,West,1E-05,1E-05,0.99997,1E-05
PspGMS124_3_RAD3_2,PspGMS124,PspGMS124_3_RAD3_2,West,1.7E-05,1E-05,0.999963,1E-05
PspGMS124_4_RAD3_2,PspGMS124,PspGMS124_4_RAD3_2,West,1E-05,1E-05,0.99997,1E-05
PspGMS130_1_RAD1,PspGMS130,PspGMS130_1_RAD1,West,1E-05,1E-05,0.99997,1E-05
PspGMS130_3_RAD3_2,PspGMS130,PspGMS130_3_RAD3_2,West,1E-05,1E-05,0.99997,1E-05
PspGMS130_4_RAD1,PspGMS130,PspGMS130_4_RAD1,West,1E-05,1E-05,0.99997,1E-05
PspGMS130_5_RAD9,PspGMS130,PspGMS130_5_RAD9,West,1E-05,1E-05,0.99997,1E-05
PspGMS138_1_RAD1,PspGMS138,PspGMS138_1_RAD1,West,1E-05,1E-05,0.99997,1E-05
